SAIL,-5.44,Trading,Equity,4.00,12 Mar  2026,153.01,612.04,12 Mar  2026,151.65,606.60,0,INE114A01011,5.44
CANBK,3.80,Trading,Equity,4.00,12 Mar  2026,138.00,552.00,12 Mar  2026,138.95,555.80,0,INE476A01022,3.80
ENGINERSIN,7.60,Trading,Equity,4.00,12 Mar  2026,197.05,788.20,12 Mar  2026,198.95,795.80,0,INE510A01028,7.60
JIOFIN,2.60,Trading,Equity,4.00,12 Mar  2026,236.30,945.20,12 Mar  2026,236.95,947.80,0,INE758E01017,2.60
DWARKESH,70.00,Trading,Equity,50.00,17 Mar  2026,37.05,1852.50,17 Mar  2026,38.45,1922.50,0,INE366A01041,70.00
SAIL,32.50,Trading,Equity,25.00,17 Mar  2026,145.05,3626.25,17 Mar  2026,146.35,3658.75,0,INE114A01011,32.50
BHEL,52.50,Trading,Equity,25.00,17 Mar  2026,254.45,6361.25,17 Mar  2026,256.55,6413.75,0,INE257A01026,52.50
MMTC,60.00,Trading,Equity,100.00,17 Mar  2026,52.60,5260.00,17 Mar  2026,53.20,5320.00,0,INE123F01029,60.00
HCC       ,19.00,Trading,Equity,100.00,17 Mar  2026,15.05,1505.00,17 Mar  2026,15.24,1524.00,0,INE549A01026,19.00
SOUTHBANK,1.00,Trading,Equity,50.00,17 Mar  2026,37.05,1852.50,17 Mar  2026,37.07,1853.50,0,INE683A01023,1.00
YESBANK,18.00,Trading,Equity,200.00,17 Mar  2026,18.55,3710.00,17 Mar  2026,18.64,3728.00,0,INE528G01035,18.00
TCS,-4.80,Trading,Equity,1.00,18 Mar  2026,2446.00,2446.00,18 Mar  2026,2441.20,2441.20,0,INE467B01029,4.80
MMTC,-943.96,Trading,Equity,410.00,18 Mar  2026,62.10,25461.00,18 Mar  2026,59.80,24518.00,0,INE123F01029,943.96
SOUTHBANK,1.25,Trading,Equity,5.00,20 Mar  2026,35.80,179.00,20 Mar  2026,36.05,180.25,0,INE683A01023,1.25
JAYNECOIND,8.85,Trading,Equity,5.00,23 Mar  2026,70.35,351.75,23 Mar  2026,72.12,360.60,0,INE854B01010,8.85
SOUTHBANK,-0.05,Trading,Equity,1.00,25 Mar  2026,37.00,37.00,25 Mar  2026,36.95,36.95,0,INE683A01023,0.05

Equity - Futures
Name,P&L,Txn type,Segment,Qty,Buy date,Buy price,Buy value,Sell date,Sell price,Sell value,Total days,ISIN,Turnover

Equity - Options
Name,P&L,Txn type,Segment,Qty,Buy date,Buy price,Buy value,Sell date,Sell price,Sell value,Total days,ISIN,Turnover

Currency - Futures
Name,P&L,Txn type,Segment,Qty,Buy date,Buy price,Buy value,Sell date,Sell price,Sell value,Total days,ISIN,Turnover

Currency - Options
Name,P&L,Txn type,Segment,Qty,Buy date,Buy price,Buy value,Sell date,Sell price,Sell value,Total days,ISIN,Turnover

Commodity - Futures
Name,P&L,Txn type,Segment,Qty,Buy date,Buy price,Buy value,Sell date,Sell price,Sell value,Total days,ISIN,Turnover

Commodity - Options
Name,P&L,Txn type,Segment,Qty,Buy date,Buy price,Buy value,Sell date,Sell price,Sell value,Total days,ISIN,Turnover

Mutual fund
Name,P&L,Txn type,Segment,Qty,Buy date,Buy price,Buy value,Sell date,Sell price,Sell value,Total days,ISIN,Turnover

